id;ILE_BANKOW;ILE_BANKOW_12;ILE_MIES_OD_NAJSTAR_OTW;ILE_MIES_OD_NAJSTAR_OTW_NRAT;ILE_MIES_OD_NAJSTAR_OTW_RAT;ILE_PRODUKTOW;ILE_RACH_OTW;ILE_RACH_OTW_12;ILE_RACH_OTW_NRAT;ILE_RACH_OTW_NRAT_12;ILE_RACH_OTW_RAT;ILE_RACH_OTW_RAT_12;ILE_RACH_OTW_BEZ_HIPO;ILE_RACH_OTW_KARTY;ILE_RACH_OTW_ODNAWIALNE;ILE_RACH_ZAMK;ILE_ZAPYTAN_12;ILE_ZAPYTAN_3;ILE_ZAPYTAN_6;ILE_ZAPYTAN_9;L_RACHUNKOW;MAX_NAL_WYMAGAL;MAX_RATA;MAX_WNIOSKODAWCY;MIN_L_RAT_DO_SPLATY;SUMA_DO_SPLATY;SUMA_DO_SPLATY_BEZ_HIPO;SUMA_DO_SPLATY_KARTY;SUMA_DO_SPLATY_NRAT;SUMA_DO_SPLATY_ODNAWIALNE;SUMA_DO_SPLATY_RAT;SUMA_LIMIT;SUMA_LIMIT_KARTY;SUMA_LIMIT_ODNAWIALNE;SUMA_NAL_WYMAGAL;SUMA_NAL_WYMAGAL_BEZ_HIPO;SUMA_NAL_WYMAGAL_KARTY;SUMA_NAL_WYMAGAL_NRAT;SUMA_RATA;STATUS
6093;1;1;10,61;10,61;;1;1;1;1;1;0;0;1;1;0;1;1;0;0;0;2;0;-1;1;;699;699;699;699;;;1500;1500;;0;0;0;0;0;0
6094;4;6;35,23;35,23;15,55;3;5;3;2;1;3;2;5;1;1;7;8;2;4;5;12;50;225;1;49;32501;32501;442;442;0;32059;13200;500;12700;59;59;50;50;635;0
6095;1;;30,58;30,58;;1;1;0;1;0;0;0;1;0;1;0;;;;;1;0;-1;1;;1502;1502;;1502;1502;;1500;;1500;0;0;;0;0;0
6096;4;2;86,29;86,29;49,94;5;5;2;2;1;3;1;4;1;1;0;2;1;2;2;5;0;384;1;10;144779;11921;543;543;;144236;1700;1400;300;0;0;0;0;743;0
6097;3;1;42,29;31,06;42,29;4;6;0;4;0;2;0;5;1;3;2;1;0;0;1;8;16;355;2;5;95500;18358;3039;16656;13617;78844;16812;3000;13812;28;28;0;28;679;0
6098;1;;28,1;28,1;;1;1;0;1;0;0;0;1;1;0;0;;;;;1;0;-1;1;;0;0;0;0;;;500;500;;0;0;0;0;0;0
6099;6;2;50,94;37,48;50,94;4;8;0;4;0;4;0;7;2;2;4;2;0;0;2;12;620;2281;1;14;504050;190193;3;132797;132794;371253;302000;42000;260000;748;748;0;0;4102;0
6100;2;2;12,52;12,52;12,32;3;5;3;1;0;4;3;5;1;0;1;3;0;1;2;6;0;29;1;3;16019;16019;499;499;;15520;5500;5500;;0;0;0;0;29;0
6101;2;;76,19;76,19;;2;2;0;2;0;0;0;2;1;1;0;;;;;2;0;-1;1;;3226;3226;3067;3226;159;;3300;3000;300;0;0;0;0;0;0
6102;1;2;7,94;;7,94;1;1;1;0;0;1;1;1;0;0;1;3;0;0;3;2;0;175;1;4;723;723;;;;723;;;;0;0;;;175;0
6103;0;;;;;0;0;0;0;0;0;0;0;0;0;0;;;;;1;-1;-1;-1;;;;;;;;;;;;;;;0;0
6104;2;3;20,97;;20,97;1;3;1;0;0;3;1;3;0;0;7;3;0;0;2;10;0;240;1;23;11206;11206;;;;11206;;;;0;0;;;460;0
6105;1;;31,06;;31,06;1;1;0;0;0;1;0;0;0;0;2;;;;;3;0;1360,477;2;3460;470288,4238;;;;;470288,4238;;;;0;;;;1360,477;0
6106;1;;34,29;34,29;;1;1;0;1;0;0;0;1;1;0;0;;;;;1;0;-1;1;;35;35;35;35;;;2000;2000;;0;0;0;0;0;0
6107;1;2;2,42;;2,42;1;1;2;0;0;1;1;1;0;0;1;2;2;2;2;2;0;174;1;19;3340;3340;;;;3340;;;;0;0;;;174;0
6108;1;;18,45;18,45;;1;1;0;1;0;0;0;1;1;0;0;;;;;1;0;-1;1;;1437;1437;1437;1437;;;5500;5500;;0;0;0;0;0;0
